id,name,country,coord
833,Ḩeşār-e Sefīd,IR,"{'lon': 47.159401, 'lat': 34.330502}"
2960,‘Ayn Ḩalāqīm,SY,"{'lon': 36.321911, 'lat': 34.940079}"
3245,Taglag,IR,"{'lon': 44.98333, 'lat': 38.450001}"
3530,Qabāghlū,IR,"{'lon': 46.168499, 'lat': 36.173302}"
5174,‘Arīqah,SY,"{'lon': 36.48336, 'lat': 32.889809}"
7264,Kalāteh-ye Dowlat,IR,"{'lon': 57.616982, 'lat': 36.163841}"
8084,Behjatābād,IR,"{'lon': 51.461639, 'lat': 36.667431}"
9874,Ţālesh Maḩalleh,IR,"{'lon': 50.679192, 'lat': 36.894329}"
11263,Shahrīār Kandeh,IR,"{'lon': 53.19902, 'lat': 36.631939}"
11754,Bālā Aḩmad Kolā,IR,"{'lon': 52.667271, 'lat': 36.649059}"
12795,Aş Şūrah aş Şaghīrah,SY,"{'lon': 36.573872, 'lat': 33.032669}"
14177,Āqdūz,IR,"{'lon': 44.26556, 'lat': 39.197498}"
14256,Āzādshahr,IR,"{'lon': 48.570728, 'lat': 34.790878}"
18007,Gollar,IR,"{'lon': 46.25, 'lat': 37.383331}"
18093,Dīgāleh,IR,"{'lon': 45.106998, 'lat': 37.552502}"
18557,Qarālar-e Mīrzā Ḩoseynqolī,IR,"{'lon': 45.067501, 'lat': 37.674702}"
18918,Protaras,CY,"{'lon': 34.058331, 'lat': 35.012501}"
23814,Kahrīz,IR,"{'lon': 47.055302, 'lat': 34.383801}"
24851,Nūrābād,IR,"{'lon': 47.9725, 'lat': 34.073399}"
29033,Rokan Sarā,IR,"{'lon': 49.608101, 'lat': 37.32085}"
30321,Zīrjān,IR,"{'lon': 58.43586, 'lat': 34.214401}"
30485,Dahasuways,YE,"{'lon': 50.729439, 'lat': 15.72389}"
30490,Ash Shihr,YE,"{'lon': 49.606392, 'lat': 14.75863}"
30543,Al Ghaylah,YE,"{'lon': 45.583328, 'lat': 14.59583}"
30616,Judaydah,YE,"{'lon': 45.299622, 'lat': 15.07512}"
30689,Dawran,YE,"{'lon': 44.441959, 'lat': 13.77436}"
30696,Najd al Jumai,YE,"{'lon': 44.324139, 'lat': 13.91581}"
30714,Zalmat al Alya,YE,"{'lon': 44.09404, 'lat': 14.1023}"
30729,Suq ar Rabu,YE,"{'lon': 44.01511, 'lat': 14.51155}"
30735,Ash Shuqayrah,YE,"{'lon': 43.786362, 'lat': 13.13452}"
30740,Mashraah,YE,"{'lon': 43.99588, 'lat': 13.53235}"
30748,Ar Rawnah,YE,"{'lon': 43.80286, 'lat': 13.75638}"
30762,Ar Ramadi,YE,"{'lon': 43.784569, 'lat': 13.95641}"
30777,Al Ahad,YE,"{'lon': 43.64167, 'lat': 14.25833}"
30788,Ad Dil,YE,"{'lon': 43.818279, 'lat': 14.67199}"
30789,Al Jabin,YE,"{'lon': 43.599041, 'lat': 14.70401}"
32516,Badrābād-e `Olyā,IR,"{'lon': 48.279442, 'lat': 33.42944}"
32723,Īstgāh-e Rāh Āhan-e Garmsār,IR,"{'lon': 52.309422, 'lat': 35.23455}"
32767,Qarchak,IR,"{'lon': 51.56889, 'lat': 35.439442}"
34703,Suq Sirwah,YE,"{'lon': 45.01667, 'lat': 15.45417}"
34717,Majzar,YE,"{'lon': 44.775002, 'lat': 15.85}"
34724,Bidbadah,YE,"{'lon': 44.700001, 'lat': 15.425}"
34821,Matwah,YE,"{'lon': 43.642132, 'lat': 15.0676}"
34827,Suwayr,YE,"{'lon': 43.609859, 'lat': 16.181801}"
34846,Wadarah,YE,"{'lon': 43.483212, 'lat': 15.71073}"
34862,Suq Shamar,YE,"{'lon': 43.368061, 'lat': 15.885}"
34886,Mustaba,YE,"{'lon': 43.248951, 'lat': 16.228161}"
34888,An Nazir,YE,"{'lon': 43.26226, 'lat': 16.909161}"
34915,Dayr al Ḩisī,YE,"{'lon': 43.099998, 'lat': 16.049999}"
35056,Tabrīz Jānī,IR,"{'lon': 46.23333, 'lat': 38.133331}"
36741,Andīmeshk,IR,"{'lon': 48.383331, 'lat': 32.533329}"
37755,Ravīndūzaq,IR,"{'lon': 48.080002, 'lat': 38.4398}"
39161,Māmā’ī,IR,"{'lon': 54.397739, 'lat': 36.892578}"
40847,Reẕāābād,IR,"{'lon': 57.31778, 'lat': 37.499722}"
41210,Khorramdarreh,IR,"{'lon': 49.195999, 'lat': 36.213001}"
41964,Kūchaklī,IR,"{'lon': 50.533329, 'lat': 35.466671}"
44992,Koshtārgāh,IR,"{'lon': 49.166672, 'lat': 30.549999}"
45013,Jozf-e Soflá,IR,"{'lon': 48.224098, 'lat': 30.365499}"
49518,Republic of Rwanda,RW,"{'lon': 30.0, 'lat': -2.0}"
49593,Yeed,SO,"{'lon': 43.033329, 'lat': 4.55}"
49747,Xuddur,SO,"{'lon': 43.88945, 'lat': 4.12129}"
50064,Xarardheere,SO,"{'lon': 47.857498, 'lat': 4.6544}"
50360,Gobolka Woqooyi Galbeed,SO,"{'lon': 44.5, 'lat': 10.0}"
50672,Wanlaweyn,SO,"{'lon': 44.893799, 'lat': 2.6185}"
50814,Waajid,SO,"{'lon': 43.246281, 'lat': 3.80958}"
51230,Gobolka Togdheer,SO,"{'lon': 45.416672, 'lat': 9.33333}"
51299,Tayeeglow,SO,"{'lon': 44.51112, 'lat': 4.01897}"
51537,Somalia,SO,"{'lon': 48.0, 'lat': 6.0}"
51966,Gobolka Shabeellaha Hoose,SO,"{'lon': 44.416672, 'lat': 1.83333}"
51967,Gobolka Shabeellaha Dhexe,SO,"{'lon': 46.0, 'lat': 3.0}"
52187,Gobolka Sanaag,SO,"{'lon': 48.0, 'lat': 10.5}"
52381,Saacow,SO,"{'lon': 42.440659, 'lat': 1.62794}"
52867,Qoryooley,SO,"{'lon': 44.529991, 'lat': 1.78784}"
53157,Qandala,SO,"{'lon': 49.872822, 'lat': 11.47197}"
53172,Qaloocan,SO,"{'lon': 44.04784, 'lat': 9.52943}"
53372,Oodweyne,SO,"{'lon': 45.063969, 'lat': 9.4092}"
53477,Gobolka Nugaal,SO,"{'lon': 49.0, 'lat': 8.16667}"
53654,Mogadishu,SO,"{'lon': 45.34375, 'lat': 2.03711}"
53707,Gobolka Mudug,SO,"{'lon': 48.0, 'lat': 7.0}"
54225,Marka,SO,"{'lon': 44.77166, 'lat': 1.71594}"
54460,Mahaddayweyne,SO,"{'lon': 45.534698, 'lat': 2.9726}"
54715,Luuq,SO,"{'lon': 42.544498, 'lat': 3.79376}"
54746,Lughaye,SO,"{'lon': 43.94397, 'lat': 10.68573}"
55223,Las Khorey,SO,"{'lon': 48.196701, 'lat': 11.1595}"
55671,Kismayo,SO,"{'lon': 42.545361, 'lat': -0.35817}"
56083,Gobolka Jubbada Hoose,SO,"{'lon': 42.0, 'lat': 0.0}"
56084,Gobolka Jubbada Dhexe,SO,"{'lon': 42.666672, 'lat': 1.33333}"
56166,Jilib,SO,"{'lon': 42.785351, 'lat': 0.48829}"
56335,Jawhar,SO,"{'lon': 45.500481, 'lat': 2.78087}"
56399,Jamaame,SO,"{'lon': 42.744968, 'lat': 0.06968}"
56414,Jalalaqsi,SO,"{'lon': 45.599602, 'lat': 3.3766}"
56505,Iskushuban,SO,"{'lon': 50.23, 'lat': 10.2837}"
57000,Hobyo,SO,"{'lon': 48.526798, 'lat': 5.3505}"
57060,Gobolka Hiiraan,SO,"{'lon': 45.5, 'lat': 4.0}"
57289,Hargeysa,SO,"{'lon': 44.064999, 'lat': 9.56}"
58802,Gobolka Gedo,SO,"{'lon': 42.0, 'lat': 3.0}"
58933,Garoowe,SO,"{'lon': 48.484459, 'lat': 8.40536}"
58994,Garbahaarrey,SO,"{'lon': 42.220909, 'lat': 3.32892}"
59362,Gobolka Galguduud,SO,"{'lon': 47.0, 'lat': 5.0}"
59611,Gaalkacyo,SO,"{'lon': 47.430828, 'lat': 6.76972}"
60019,Eyl,SO,"{'lon': 49.816399, 'lat': 7.9803}"
60147,El Dubat,SO,"{'lon': 49.083328, 'lat': 9.51667}"
60207,El Ad,SO,"{'lon': 49.150002, 'lat': 11.28333}"
60457,Dujuuma,SO,"{'lon': 42.573769, 'lat': 1.25311}"
60628,Doon,SO,"{'lon': 43.123329, 'lat': 11.23861}"
60928,Dhuusamarreeb,SO,"{'lon': 46.386108, 'lat': 5.535}"
61993,Dalooldho,SO,"{'lon': 44.06229, 'lat': 9.59271}"
62660,Cheli Gu,SO,"{'lon': 45.083328, 'lat': 4.43333}"
62691,Ceerigaabo,SO,"{'lon': 47.36795, 'lat': 10.61616}"
62788,Ceeldheer,SO,"{'lon': 47.180641, 'lat': 3.84878}"
62821,Ceelbuur,SO,"{'lon': 46.617599, 'lat': 4.68501}"
62854,Ceek,SO,"{'lon': 45.358238, 'lat': 8.99907}"
63081,Caluula,SO,"{'lon': 50.756939, 'lat': 11.96611}"
63344,Cadale,SO,"{'lon': 46.322201, 'lat': 2.7603}"
63571,Buurhakaba,SO,"{'lon': 44.07806, 'lat': 2.80257}"
63580,Buur Gaabo,SO,"{'lon': 41.83736, 'lat': -1.21933}"
63689,Buulobarde,SO,"{'lon': 45.56744, 'lat': 3.85375}"
63795,Burao,SO,"{'lon': 45.53363, 'lat': 9.52212}"
63949,Bu’aale,SO,"{'lon': 42.583328, 'lat': 1.08333}"
64013,Bosaso,SO,"{'lon': 49.18158, 'lat': 11.28421}"
64412,Bereeda,SO,"{'lon': 51.057949, 'lat': 11.87037}"
64435,Berbera,SO,"{'lon': 45.01432, 'lat': 10.43959}"
64460,Beledweyne,SO,"{'lon': 45.203609, 'lat': 4.73583}"
64480,Behelidle,SO,"{'lon': 42.316669, 'lat': 2.31667}"
64536,Baidoa,SO,"{'lon': 43.649799, 'lat': 3.11383}"
64538,Gobolka Bay,SO,"{'lon': 43.5, 'lat': 3.0}"
64661,Gobolka Bari,SO,"{'lon': 50.0, 'lat': 10.0}"
64670,Bargaal,SO,"{'lon': 51.077301, 'lat': 11.28636}"
64814,Bandarbeyla,SO,"{'lon': 50.812199, 'lat': 9.4942}"
64833,Gobolka Banaadir,SO,"{'lon': 45.400002, 'lat': 2.11667}"
65170,Baardheere,SO,"{'lon': 42.27644, 'lat': 2.34464}"
65785,Afgooye,SO,"{'lon': 45.121201, 'lat': 2.1381}"
65893,Cadayo,SO,"{'lon': 46.372108, 'lat': 4.39024}"
66093,Yasuj,IR,"{'lon': 51.587959, 'lat': 30.66824}"
66108,Shāhrūd,IR,"{'lon': 55.01667, 'lat': 36.416672}"
69349,‘Abbāsābād-e Qūsheh,IR,"{'lon': 59.216671, 'lat': 32.866669}"
69372,At Tawilah,YE,"{'lon': 43.74778, 'lat': 15.49389}"
69426,Zinjibar,YE,"{'lon': 45.38073, 'lat': 13.12871}"
69457,Zarajah,YE,"{'lon': 44.378681, 'lat': 14.86692}"
69482,Az Zahir,YE,"{'lon': 45.48333, 'lat': 13.96667}"
69499,Zabīd,YE,"{'lon': 43.368408, 'lat': 14.27742}"
69500,Zabid,YE,"{'lon': 43.315182, 'lat': 14.1951}"
69537,Yufrus,YE,"{'lon': 43.947041, 'lat': 13.45529}"
69543,Republic of Yemen,YE,"{'lon': 47.5, 'lat': 15.5}"
69558,Yarīm,YE,"{'lon': 44.31176, 'lat': 14.25388}"
69559,Yarim,YE,"{'lon': 44.377949, 'lat': 14.29804}"
69640,Washhah,YE,"{'lon': 43.41066, 'lat': 16.307739}"
69684,Walan,YE,"{'lon': 44.276409, 'lat': 15.07021}"
69686,Dhi Jalal,YE,"{'lon': 44.707539, 'lat': 13.62378}"
69769,Usaylan,YE,"{'lon': 45.82832, 'lat': 15.03201}"
69944,Ubal,YE,"{'lon': 43.544441, 'lat': 14.98808}"
70080,Thamud,YE,"{'lon': 49.916672, 'lat': 17.299999}"
70160,Tarim,YE,"{'lon': 48.99889, 'lat': 16.05694}"
70221,At Ta‘izzīyah,YE,"{'lon': 44.009411, 'lat': 13.69479}"
70222,Muḩāfaz̧at Ta‘izz,YE,"{'lon': 44.0, 'lat': 13.5}"
70223,Ta‘izz,YE,"{'lon': 44.033329, 'lat': 14.78333}"
70225,Taizz,YE,"{'lon': 44.020908, 'lat': 13.57952}"
70272,As Suwayda,YE,"{'lon': 45.2304, 'lat': 13.78694}"
70346,Al Anan,YE,"{'lon': 44.312519, 'lat': 16.72188}"
70357,Abs,YE,"{'lon': 43.197239, 'lat': 16.002951}"
70551,Sif,YE,"{'lon': 48.330002, 'lat': 15.31389}"
70600,Shuḩayr,YE,"{'lon': 49.392502, 'lat': 14.68417}"
70656,Shihan as Sufla,YE,"{'lon': 52.48925, 'lat': 17.769991}"
70677,Shibam,YE,"{'lon': 43.904449, 'lat': 15.50943}"
70759,Ash Sharyah,YE,"{'lon': 45.022442, 'lat': 14.35659}"
70808,Sharas,YE,"{'lon': 43.64925, 'lat': 15.71233}"
70910,Shaharat al Ghis,YE,"{'lon': 43.702278, 'lat': 16.184111}"
70935,Muḩāfaz̧at Shabwah,YE,"{'lon': 47.0, 'lat': 15.0}"
70979,Sayyan,YE,"{'lon': 44.324421, 'lat': 15.17177}"
71005,Sayhut,YE,"{'lon': 51.24556, 'lat': 15.21056}"
71131,Sanhan,YE,"{'lon': 44.305698, 'lat': 15.2252}"
71132,Sanaa,YE,"{'lon': 44.4249, 'lat': 15.26069}"
71136,Sana,YE,"{'lon': 47.76667, 'lat': 15.4}"
71137,Sanaa,YE,"{'lon': 44.206669, 'lat': 15.35472}"
71273,Sahar,YE,"{'lon': 44.308578, 'lat': 15.31586}"
71282,Sah,YE,"{'lon': 48.850559, 'lat': 15.57722}"
71333,Muḩāfaz̧at Şa‘dah,YE,"{'lon': 43.914879, 'lat': 17.0634}"
71334,Sadah,YE,"{'lon': 43.763939, 'lat': 16.94021}"
71481,Rihab,YE,"{'lon': 44.188141, 'lat': 14.22762}"
71491,Rada,YE,"{'lon': 44.83709, 'lat': 14.4151}"
71532,Muḩāfaz̧at Raymah,YE,"{'lon': 43.666672, 'lat': 14.63333}"
71549,Ar Raydah,YE,"{'lon': 50.479172, 'lat': 15.035}"
71558,Raydah,YE,"{'lon': 44.040852, 'lat': 15.81421}"
71622,Rakkat al ‘Askarī,YE,"{'lon': 44.48333, 'lat': 16.15}"
71687,Rudum,YE,"{'lon': 47.743141, 'lat': 14.0851}"
71799,Qulansiyah,YE,"{'lon': 53.48333, 'lat': 12.68333}"
71834,Qishn,YE,"{'lon': 51.681389, 'lat': 15.42278}"
71904,Qatabah,YE,"{'lon': 44.705799, 'lat': 13.85493}"
72181,Nisab,YE,"{'lon': 46.5, 'lat': 14.51667}"
72430,Al Musaymir,YE,"{'lon': 44.61528, 'lat': 13.44389}"
72519,Mukayras,YE,"{'lon': 45.670738, 'lat': 13.94428}"
72557,Mudiyah,YE,"{'lon': 46.082539, 'lat': 13.9284}"
72561,Markaz Mudhaykirah,YE,"{'lon': 43.9688, 'lat': 13.88953}"
72589,Morī,YE,"{'lon': 53.900002, 'lat': 12.63333}"
72647,Manwakh,YE,"{'lon': 48.109169, 'lat': 16.807779}"
72746,Mayfaah,YE,"{'lon': 47.561199, 'lat': 14.27042}"
72752,Maidi,YE,"{'lon': 42.812988, 'lat': 16.321011}"
72760,Mawza,YE,"{'lon': 43.50993, 'lat': 13.26831}"
72781,Mawiyah,YE,"{'lon': 44.347679, 'lat': 13.58294}"
72855,Al Jawl,YE,"{'lon': 48.280659, 'lat': 14.45625}"
72965,Marib City,YE,"{'lon': 45.303398, 'lat': 15.4156}"
72966,Muḩāfaz̧at Ma’rib,YE,"{'lon': 45.32534, 'lat': 15.4591}"
72968,Ma'rib,YE,"{'lon': 45.325809, 'lat': 15.46253}"
73091,Manakhah,YE,"{'lon': 43.741562, 'lat': 15.07422}"
73100,Milah,YE,"{'lon': 44.786221, 'lat': 14.41617}"
73125,Al Malahit,YE,"{'lon': 43.275822, 'lat': 16.76848}"
73325,Al Mafud,YE,"{'lon': 47.252171, 'lat': 15.34264}"
73331,Mafhaq,YE,"{'lon': 43.903042, 'lat': 15.10162}"
73365,Al Madid,YE,"{'lon': 44.47337, 'lat': 15.64453}"
73409,Mabar,YE,"{'lon': 44.293541, 'lat': 14.79395}"
73422,Al Maalla,YE,"{'lon': 45.002441, 'lat': 12.78987}"
73504,Lawdar,YE,"{'lon': 45.868591, 'lat': 13.88282}"
73560,Lahij,YE,"{'lon': 44.881939, 'lat': 13.05667}"
73638,Kuhlan Afar,YE,"{'lon': 43.719021, 'lat': 15.73309}"
73650,Kuaydinah,YE,"{'lon': 43.3372, 'lat': 15.82104}"
73668,Kitaf,YE,"{'lon': 44.109051, 'lat': 17.031651}"
73685,Kilmia,YE,"{'lon': 52.233318, 'lat': 12.18576}"
73786,Khawr Maksar,YE,"{'lon': 45.033371, 'lat': 12.81227}"
73788,Khawrah,YE,"{'lon': 46.15435, 'lat': 14.43201}"
73861,Khamir,YE,"{'lon': 43.953621, 'lat': 15.98792}"
74116,Juban,YE,"{'lon': 44.874599, 'lat': 14.01164}"
74167,Jihanah,YE,"{'lon': 44.482441, 'lat': 15.22628}"
74185,Jiblah,YE,"{'lon': 44.146679, 'lat': 13.92162}"
74219,Jawf al Maqbabah,YE,"{'lon': 45.834881, 'lat': 13.83783}"
74222,Muḩāfaz̧at al Jawf,YE,"{'lon': 45.5243, 'lat': 16.597401}"
74368,Jaar,YE,"{'lon': 45.30558, 'lat': 13.223}"
74475,Ibb,YE,"{'lon': 44.155079, 'lat': 14.03356}"
74477,Ibb,YE,"{'lon': 44.183331, 'lat': 13.96667}"
74490,Huth,YE,"{'lon': 43.96854, 'lat': 16.23114}"
74499,As Salasil,YE,"{'lon': 48.831532, 'lat': 16.479589}"
74785,Al Abr,YE,"{'lon': 47.23333, 'lat': 16.133329}"
74906,Hays,YE,"{'lon': 43.483101, 'lat': 13.9317}"
74938,Hayfan,YE,"{'lon': 44.280109, 'lat': 13.31778}"
75000,Hawf,YE,"{'lon': 53.033329, 'lat': 16.633329}"
75034,Haswayn,YE,"{'lon': 52.102219, 'lat': 15.59194}"
75133,Harib,YE,"{'lon': 45.503559, 'lat': 14.93156}"
75163,Harad,YE,"{'lon': 43.05883, 'lat': 16.409651}"
75239,Hammam Ali,YE,"{'lon': 44.147629, 'lat': 14.66371}"
75334,Ḩajjah,YE,"{'lon': 43.6063, 'lat': 15.63287}"
75337,Hajjah,YE,"{'lon': 43.60582, 'lat': 15.69425}"
75357,Madinat Labus,YE,"{'lon': 45.25, 'lat': 13.86667}"
75411,Muḩāfaz̧at Ḩaḑramawt,YE,"{'lon': 49.0, 'lat': 16.0}"
75427,Tamrida,YE,"{'lon': 54.033329, 'lat': 12.65}"
75504,Habil al Jabr,YE,"{'lon': 44.985779, 'lat': 13.60422}"
75508,Al Habilayn,YE,"{'lon': 44.850761, 'lat': 13.52002}"
75518,Habban,YE,"{'lon': 47.076488, 'lat': 14.35411}"
75539,Hababah,YE,"{'lon': 43.875629, 'lat': 15.54418}"
75618,Ghayl Ba Wazir,YE,"{'lon': 49.366112, 'lat': 14.77611}"
76089,Dhubab,YE,"{'lon': 43.41024, 'lat': 12.94305}"
76125,Dhi Naim,YE,"{'lon': 45.448071, 'lat': 14.10574}"
76147,Dhaybin,YE,"{'lon': 44.129169, 'lat': 15.97712}"
76153,Dhī as Sufāl,YE,"{'lon': 44.077751, 'lat': 13.82137}"
76154,Dhi as Sufal,YE,"{'lon': 44.114689, 'lat': 13.83446}"
76182,Madīnat Dhamār,YE,"{'lon': 44.403389, 'lat': 14.60684}"
76183,Muḩāfaz̧at Dhamār,YE,"{'lon': 44.272942, 'lat': 14.68296}"
76184,Dhamar,YE,"{'lon': 44.40514, 'lat': 14.54274}"
76362,Dawran ad Daydah,YE,"{'lon': 44.206638, 'lat': 14.73927}"
76482,Dar an Nasr,YE,"{'lon': 44.016338, 'lat': 13.55821}"
76699,Burum,YE,"{'lon': 48.979721, 'lat': 14.36361}"
76927,Bayt Adhaqah,YE,"{'lon': 43.702278, 'lat': 15.61576}"
76930,As Suq al Jadid,YE,"{'lon': 44.062038, 'lat': 15.82496}"
76989,Bayt al Faqīh,YE,"{'lon': 43.278149, 'lat': 14.48738}"
76991,Bayt al Faqih,YE,"{'lon': 43.324459, 'lat': 14.51635}"
77017,Bayhan,YE,"{'lon': 45.718891, 'lat': 14.80067}"
77278,Bani Hujjaj,YE,"{'lon': 43.316669, 'lat': 15.41667}"
77307,Bani Bakr,YE,"{'lon': 45.26667, 'lat': 13.93333}"
77407,Bājil,YE,"{'lon': 43.1735, 'lat': 15.07561}"
77408,Bajil,YE,"{'lon': 43.285061, 'lat': 15.05835}"
77504,Az Zuhrah,YE,"{'lon': 42.995819, 'lat': 15.72377}"
77515,Az Zaydiyah,YE,"{'lon': 43.008121, 'lat': 15.32851}"
77529,Az Zahir,YE,"{'lon': 44.488178, 'lat': 16.317989}"
77594,Al Hajab,YE,"{'lon': 45.529041, 'lat': 14.85192}"
77636,Al Awabil,YE,"{'lon': 44.864311, 'lat': 13.83754}"
77646,At Turbah,YE,"{'lon': 44.124149, 'lat': 13.2127}"
77655,Al Tuhayta,YE,"{'lon': 43.226372, 'lat': 14.18356}"
77662,At Tawahi,YE,"{'lon': 44.980202, 'lat': 12.78471}"
77726,Ataq,YE,"{'lon': 46.831871, 'lat': 14.53766}"
77772,As Sudah,YE,"{'lon': 43.78083, 'lat': 15.95861}"
77791,As Sayyani,YE,"{'lon': 44.17395, 'lat': 13.84266}"
77800,As Sawmaah,YE,"{'lon': 45.801022, 'lat': 14.08505}"
77803,Al Bilad,YE,"{'lon': 49.291672, 'lat': 16.13806}"
77809,As Sawadiyah,YE,"{'lon': 45.221481, 'lat': 14.30113}"
77843,As Salif,YE,"{'lon': 42.67067, 'lat': 15.30558}"
77862,Said,YE,"{'lon': 46.872921, 'lat': 14.33011}"
77872,As Safaqayn,YE,"{'lon': 43.421211, 'lat': 15.37897}"
77881,As Saddah,YE,"{'lon': 44.421391, 'lat': 14.1221}"
77940,Ash Shaykh Uthman,YE,"{'lon': 44.993092, 'lat': 12.87678}"
77946,Ash Shatt,YE,"{'lon': 44.035709, 'lat': 12.89357}"
77980,Ash Shahil,YE,"{'lon': 43.404949, 'lat': 15.86656}"
77985,Ash Shaghadirah,YE,"{'lon': 43.520561, 'lat': 15.62}"
78019,Asdas,YE,"{'lon': 45.081509, 'lat': 15.76601}"
78112,Marbat,YE,"{'lon': 46.388111, 'lat': 14.20567}"
78137,Ar Rawdah,YE,"{'lon': 44.223991, 'lat': 15.43251}"
78141,Ar Rawdah,YE,"{'lon': 47.276379, 'lat': 14.46725}"
78379,An Nadirah,YE,"{'lon': 44.47559, 'lat': 14.09628}"
78428,Amran,YE,"{'lon': 43.943851, 'lat': 15.6594}"
78448,Amd,YE,"{'lon': 47.98333, 'lat': 15.3}"
78471,Al Wuday,YE,"{'lon': 46.01786, 'lat': 13.7721}"
78543,Al Udayn,YE,"{'lon': 43.996731, 'lat': 13.96918}"
78566,Al Qurh,YE,"{'lon': 51.48333, 'lat': 16.73333}"
78638,Al Qaryah,YE,"{'lon': 45.680981, 'lat': 13.94067}"
78675,Al Qanawis,YE,"{'lon': 43.134331, 'lat': 15.49277}"
78699,Al Qaflah,YE,"{'lon': 43.767921, 'lat': 16.31897}"
78708,Qaryat al Qabil,YE,"{'lon': 44.127682, 'lat': 15.45033}"
